SiteId,Site_Name,Site_Brand,Site_Suburb,Lat,Lon
61401621,7-Eleven Woodridge,7 Eleven,Woodridge,-27.620539,153.115258
61401625,Liberty Rocklea,Liberty,Rocklea,-27.540719,153.008783
61401625,Solo Rocklea,SOLO,Rocklea,-27.540719,153.008783
61401641,Ampol Foodary Carina,Ampol,Carina,-27.495943,153.093325
61401642,Freedom Fuels Ningi,Freedom Fuels,Ningi,-27.065563,153.112516
61401643,Ampol Foodary Samford,Ampol,Samford Village,-27.373288,152.886241
61401646,Caltex Willowbank,Caltex,Haigslea,-27.66571,152.692486
61401654,BP North Maclean,BP,North Maclean,-27.775711,153.014389
61401658,Ampol Bribie Island,Ampol,Bribie Island,-27.080608,153.173557
61401667,Raceview Fuels,Independent,Raceview,-27.632358,152.770752
61401670,Ampol Redbank,Ampol,Redbank,-27.600718,152.870263
61401676,7-Eleven Gumdale,7 Eleven,Gumdale,-27.491083,153.152974
61401679,NightOwl BP Logan Village,BP,Logan Village,-27.766879,153.108334
61401680,BP Grange,BP,Grange,-27.426013,153.013225
61401682,Ampol Foodary Blacksoil,Ampol,Blacksoil,-27.579886,152.716579
61401683,Ampol Foodary Burpengary,Ampol,Burpengary,-27.156283,152.976865
61401684,Caltex Dutton Park,Caltex,Dutton Park,-27.498595,153.028027
61401685,Caltex Graceville,Caltex,Graceville,-27.524647,152.980639
61401686,Caltex Eagleby,Caltex,Eagleby,-27.702133,153.211669
61401687,Nightowl Puma Enoggera,Puma Energy,Enoggera,-27.425092,152.989957
61401687,NightOwl Caltex Enoggera,Caltex,Enoggera,-27.425092,152.989957
61401690,BP Clontarf,BP,Clontarf,-27.234778,153.087358
61401691,Freedom Fuels Brendale,Freedom Fuels,Brendale,-27.317812,152.988025
61401693,Pearl Energy Parkwood,Pearl Energy,Parkwood,-27.954453,153.38309
61401693,Ampol Foodary Parkwood,Unknown,Parkwood,-27.954453,153.38309
61401693,Ampol Foodary Parkwood,Ampol,Parkwood,-27.954556,153.383083
61401696,Ampol Foodary Mt Warren Park,Ampol,Mount Warren Park,-27.728359,153.208657
61401700,Metro Petroleum Acacia Ridge,Metro Fuel,Acacia Ridge,-27.588388,153.027757
61401701,NightOwl Puma Richlands,Puma Energy,Inala,-27.588166,152.959162
61401703,Freedom Fuels Willawong,Freedom Fuels,Willawong,-27.594631,153.003997
61401703,Pearl Energy Willawong,Pearl Energy,Willawong,-27.594595,153.003989
61401707,Enhance Service Station & Tyre Plus Mechanic,Enhance,Kelvin Grove,-27.452992,153.011287
61401710,Mega Fuels Rocklea,Independent,Rocklea,-27.546661,153.010519
61401710,Mega Fuels Rocklea,Unknown,Rocklea,-27.546661,153.010519
61401711,Liberty Yamanto,Liberty,Purga,-27.662569,152.728666
61401712,BP Warrego Highway,BP,Blacksoil,-27.575905,152.704102
61401713,Ampol Foodary Helensvale,Ampol,Helensvale,-27.906337,153.318664
61401714,BP Waterford,BP,Waterford West,-27.693901,153.142624
61401718,Moorooka Servo,Liberty,Moorooka,-27.545146,153.019843
61401722,Freedom Fuels Goodna,Freedom Fuels,Goodna,-27.606007,152.903785
61401723,Ampol Foodary Capalaba,Ampol,Capalaba,-27.531382,153.197683
61401725,Caltex Wacol,Caltex,Wacol,-27.604504,152.932399
61401727,BP Sandgate,BP,Sandgate,-27.315619,153.061132
61401728,BP Holland Park,BP,Holland Park,-27.514213,153.054688
61401729,Freedom Fuels Victoria Point,Freedom Fuels,Victoria Point,-27.584995,153.301225
61401730,Quill Petroleum,Independent,Red Hill,-27.455195,153.007221
61401733,Caltex Narangba,Caltex,Narangba,-27.197281,152.984329
61401734,Coles Express Chatswood Road,Coles Express,Springwood,-27.633616,153.139522
61401736,Ampol Foodary Reedy Creek,Ampol,Reedy Creek,-28.093407,153.39137
61401737,Pearl Energy Durack,Pearl Energy,Durack,-27.595948,152.987665
61401738,Ampol Foodary Marsden,Ampol,Marsden,-27.679876,153.087967
61401739,BP Connect Albany Forest,BP,Albany Creek,-27.358132,152.969491
61401741,BP Brown Plains,BP,Browns Plains,-27.662389,153.048208
61401743,Shell Reddy Express Kallangur,Reddy Express,Kallangur,-27.249379,153.001012
