SiteId,Site_Name,Site_Brand,Site_Suburb,Fuel_Type,minutes_lowest,minutes_total,lowest_price_share_pct,avg_cpl
61401229,Ampol Foodary Redcliffe,Ampol,Redcliffe,Unleaded,298390.0,305119.000000209,97.79,189.2
61401229,Ampol Foodary Redcliffe,Ampol,Redcliffe,e10,301273.0,305119.000000209,98.74,186.8
61401234,Coles Express Clontarf,Coles Express,Clontarf,Diesel,254850.0,254849.999999776,100.0,191.1
61401234,Coles Express Clontarf,Coles Express,Clontarf,PULP 95/96 RON,297000.0,297000.0,100.0,205.8
61401234,Coles Express Clontarf,Coles Express,Clontarf,PULP 98 RON,33671.0,304698.999999762,11.05,211.5
61401234,Coles Express Clontarf,Coles Express,Clontarf,Unleaded,68665.0,304698.999999762,22.54,187.1
61401235,BP Boulevarde,BP,Woody Point,LPG,93330.0,93330.0,100.0,104.0
61401235,BP Boulevarde,BP,Woody Point,PULP 95/96 RON,277495.0,277494.999999851,100.0,205.2
61401235,BP Boulevarde,BP,Woody Point,PULP 98 RON,277495.0,277494.999999851,100.0,211.6
61401235,BP Boulevarde,BP,Woody Point,Premium Diesel,263851.0,263850.999999717,100.0,193.4
61401235,BP Boulevarde,BP,Woody Point,Unleaded,295276.0,295276.000000164,100.0,184.4
61401238,Red Dog Petroleum,Independent,Kallangur,Diesel,38149.0,301156.999999657,12.67,185.8
61401238,Red Dog Petroleum,Independent,Kallangur,PULP 95/96 RON,193792.0,304972.000000253,63.54,199.8
61401238,Red Dog Petroleum,Independent,Kallangur,PULP 98 RON,193986.0,304972.000000253,63.61,207.8
61401238,Red Dog Petroleum,Independent,Kallangur,Unleaded,194424.0,304972.000000253,63.75,184.8
61401246,7-Eleven Strathpine,7 Eleven,Strathpine,LPG,21658.0,21657.9999998957,100.0,109.9
61401246,7-Eleven Strathpine,7 Eleven,Strathpine,PULP 95/96 RON,299400.0,301180.000000298,99.41,199.4
61401246,7-Eleven Strathpine,7 Eleven,Strathpine,PULP 98 RON,234673.0,304930.000000075,76.96,207.4
61401246,7-Eleven Strathpine,7 Eleven,Strathpine,Premium Diesel,259579.0,260754.999999851,99.55,188.2
61401246,7-Eleven Strathpine,7 Eleven,Strathpine,Unleaded,216707.0,304930.000000075,71.07,184.4
61401246,7-Eleven Strathpine,7 Eleven,Strathpine,e10,216707.0,304930.000000075,71.07,181.2
61401249,7-Eleven Eatons Hill,7 Eleven,Eatons Hill,PULP 95/96 RON,304860.0,304860.000000224,100.0,199.0
61401249,7-Eleven Eatons Hill,7 Eleven,Eatons Hill,PULP 98 RON,304860.0,304860.000000224,100.0,206.6
61401249,7-Eleven Eatons Hill,7 Eleven,Eatons Hill,Premium Diesel,303361.0,303361.000000387,100.0,192.8
61401249,7-Eleven Eatons Hill,7 Eleven,Eatons Hill,Unleaded,304860.0,304860.000000224,100.0,183.8
61401249,7-Eleven Eatons Hill,7 Eleven,Eatons Hill,e10,304860.0,304860.000000224,100.0,181.5
61401250,7-Eleven Bald Hills,7 Eleven,Bald Hills,PULP 95/96 RON,10825.0,301135.000000298,3.59,200.8
61401250,7-Eleven Bald Hills,7 Eleven,Bald Hills,PULP 98 RON,14485.0,301135.000000298,4.81,208.8
61401250,7-Eleven Bald Hills,7 Eleven,Bald Hills,Premium Diesel,284208.0,284208.000000045,100.0,182.6
61401250,7-Eleven Bald Hills,7 Eleven,Bald Hills,Unleaded,41674.0,301135.000000298,13.84,185.1
61401250,7-Eleven Bald Hills,7 Eleven,Bald Hills,e10,40229.0,301135.000000298,13.36,182.9
61401252,U-Go Bracken Ridge,U-Go,Bracken Ridge,PULP 98 RON,302034.0,303199.999999925,99.62,186.4
61401252,U-Go Bracken Ridge,U-Go,Bracken Ridge,Premium Diesel,301232.0,305060.000000373,98.75,174.5
61401252,U-Go Bracken Ridge,U-Go,Bracken Ridge,Unleaded,239188.0,303127.000000253,78.91,165.4
