PULocationID,trips,revenue,avg_fare,med_min,med_dist,rev_per_trip,share_pct,Borough,Zone
238,16402,352800.67,13.045128033166687,8.616666666666667,1.4,21.51,1.19,Manhattan,Upper West Side North
90,14658,347254.38,14.102908309455588,10.816666666666666,1.25,23.69,1.17,Manhattan,Flatiron
249,14196,339498.69,14.395000000000001,11.516666666666667,1.4,23.92,1.14,Manhattan,West Village
263,15680,338173.37,12.932913265306121,8.333333333333334,1.3,21.57,1.14,Manhattan,Yorkville West
79,13735,328874.09,14.607410265744448,11.183333333333334,1.5,23.94,1.11,Manhattan,East Village
233,11662,306784.05,16.093981306808438,12.25,1.58,26.31,1.03,Manhattan,UN/Turtle Bay South
113,12625,298661.77,14.124021386138613,10.866666666666667,1.34,23.66,1.0,Manhattan,Greenwich Village North
144,9984,268442.77,17.20703125,14.416666666666666,1.97,26.89,0.9,Manhattan,Little Italy/NoLiTa
70,3779,265208.77,45.75786716062451,32.78333333333333,9.24,70.18,0.89,Queens,East Elmhurst
13,7705,259054.51,22.223395197923427,16.05,3.35,33.62,0.87,Manhattan,Battery Park City
262,10495,242458.49,14.15048499285374,9.85,1.5,23.1,0.82,Manhattan,Yorkville East
137,9640,235480.44,15.129284232365144,11.408333333333333,1.52,24.43,0.79,Manhattan,Kips Bay
114,9576,233573.38999999998,14.87888366750209,11.866666666666667,1.54,24.39,0.79,Manhattan,Greenwich Village South
158,8430,226054.6,16.819078291814947,14.05,1.76,26.82,0.76,Manhattan,Meatpacking/West Village West
211,8335,220621.29,16.79596880623875,13.85,1.74,26.47,0.74,Manhattan,SoHo
143,9753,214077.55,13.144676509791859,9.0,1.45,21.95,0.72,Manhattan,Lincoln Square West
87,6030,200683.99,22.390671641791045,16.466666666666665,3.56,33.28,0.67,Manhattan,Financial District North
261,5921,199785.34,23.12699881776727,18.483333333333334,3.28,33.74,0.67,Manhattan,World Trade Center
148,5473,150614.33,17.7752914306596,13.6,2.04,27.52,0.51,Manhattan,Lower East Side
151,6875,144241.23,13.434026181818181,9.0,1.49,20.98,0.49,Manhattan,Manhattan Valley
125,4530,122606.96,16.93207505518764,11.95,1.68,27.07,0.41,Manhattan,Hudson Sq
75,5366,120145.61,15.092545657845696,9.933333333333334,1.56,22.39,0.4,Manhattan,East Harlem South
88,3372,119683.83,24.67346085409253,18.25,4.26,35.49,0.4,Manhattan,Financial District South
50,4867,117618.51,14.786630367783028,10.683333333333334,1.53,24.17,0.4,Manhattan,Clinton West
166,3551,82370.72,15.782171219374824,11.3,1.84,23.2,0.28,Manhattan,Morningside Heights
264,1809,65157.33,24.333466003316747,14.883333333333333,1.92,36.02,0.22,Unknown,
209,1874,59213.6,21.594407684098186,15.325,3.2,31.6,0.2,Manhattan,Seaport
45,1497,46010.35,21.223854375417503,16.283333333333335,2.43,30.74,0.15,Manhattan,Chinatown
74,1893,45091.97,17.295552033808768,12.766666666666667,1.96,23.82,0.15,Manhattan,East Harlem North
41,2061,45050.55,15.979019893255701,10.333333333333334,1.51,21.86,0.15,Manhattan,Central Harlem
226,728,44882.44,50.52134615384615,25.71666666666667,5.705,61.65,0.15,Queens,Sunnyside
24,1972,43676.37,14.583022312373226,10.166666666666666,1.7,22.15,0.15,Manhattan,Bloomingdale
